source_path,target_url,rule_type
/werkgebied/amsterdam,https://nieuwblik.com/website-laten-maken-amsterdam,redirect
/werkgebied/rotterdam,https://nieuwblik.com/website-laten-maken-rotterdam,redirect
/werkgebied/den-haag,https://nieuwblik.com/website-laten-maken-den-haag,redirect
/werkgebied/utrecht,https://nieuwblik.com/website-laten-maken-utrecht,redirect
/werkgebied/eindhoven,https://nieuwblik.com/website-laten-maken-eindhoven,redirect
/werkgebied/groningen,https://nieuwblik.com/website-laten-maken-groningen,redirect
/werkgebied/tilburg,https://nieuwblik.com/website-laten-maken-tilburg,redirect
/werkgebied/almere,https://nieuwblik.com/website-laten-maken-almere,redirect
/werkgebied/breda,https://nieuwblik.com/website-laten-maken-breda,redirect
/werkgebied/nijmegen,https://nieuwblik.com/website-laten-maken-nijmegen,redirect
/werkgebied/alkmaar,https://nieuwblik.com/website-laten-maken-alkmaar,redirect
/webdesign,https://nieuwblik.com/diensten,redirect
/seo,https://nieuwblik.com/seo-enkhuizen,redirect
/prijzen,https://nieuwblik.com/website-laten-maken,redirect
/ecommerce,https://nieuwblik.com/diensten/e-commerce,redirect
/diensten/ecommerce,https://nieuwblik.com/diensten/e-commerce,redirect
/listings,https://nieuwblik.com/diensten/e-commerce,redirect
/social-media,https://nieuwblik.com/diensten,redirect
/grafische-vormgeving,https://nieuwblik.com/diensten,redirect
/cookiebeleid,https://nieuwblik.com/cookies,redirect
/privacybeleid,https://nieuwblik.com/privacy,redirect
/start-je-project,https://nieuwblik.com/contact,redirect
/project-esveld,https://nieuwblik.com/portfolio/esveld-installatie,redirect
/project-kyodai,https://nieuwblik.com/portfolio/kyodai-originals,redirect
/project-rrs,https://nieuwblik.com/portfolio/rrs-royal,redirect
/project-lashlution,https://nieuwblik.com/portfolio/puur-in-harmonie,redirect
/portfolio/lashlution,https://nieuwblik.com/portfolio/puur-in-harmonie,redirect
/portfolio/vdv-tuinen,https://nieuwblik.com/portfolio/green-profit,redirect
/blog/seo-fundamentals-gevonden-worden,https://nieuwblik.com/blog/vindbaar-in-chatgpt-geo-west-friesland,redirect
/blog/lovable-websites-bouwen,https://nieuwblik.com/blog/figma-hadoseo-lovable-perfecte-website,redirect
/blog/lovable-websites-bouwen-met-ai,https://nieuwblik.com/blog/figma-hadoseo-lovable-perfecte-website,redirect
/blog/bolt-new-ai-website-builder,https://nieuwblik.com/blog/replit-online-code-editor-ai,redirect
/blog/waarom-snelle-websites-meer-verkopen,https://nieuwblik.com/blog/case-study-benoted-snelheid-zichtbaarheid,redirect
/blog/van-bezoeker-naar-klant-conversie-optimalisatie,https://nieuwblik.com/gratis-website-analyse,redirect
/blog/wordpress-vs-maatwerk-website,https://nieuwblik.com/diensten/website-op-maat,redirect
/blog/wat-kost-website-laten-maken-2026,https://nieuwblik.com/website-laten-maken,redirect
